name,avg,marks,exam
f1ba7f3eec2857bf161d07f9439be6f4,3.3,10,False
0d34faa0c541676358d0d91862cfb06e,3.466666666666667,14,False
1cf77de5bbaf57ac5a82cd451f42040c,2.2916666666666665,9,False
3eaf85ddc251fbcc2376529a11a2af74,4.308333333333334,13,False
fe7488605f08a87b9d61d16954b82ea9,4.075,10,False
511997ce647bb1a55dac6ac09b6c5716,2.3125,7,False
28db9f6194988e508d4b9fb4f429a5f1,3.0,10,False
6fc56401e2e27c6fa7ee0b2d605b56a5,3.104166666666667,8,False
e50abc9dabf75424f0b45a393eebaf4e,4.291666666666666,16,False
1a686e5ec5a14fa6c9b85c32a2664fd0,4.276785714285714,13,False
911129d31bb01444c6bbc9e1efba848b,4.321428571428571,16,False
c1aacbadf1a38034ac0930428bb68fff,4.349702380952381,21,False
a57d8f1aef7b74d097df68f9bd06e322,2.825892857142857,19,False
6180e825789e7ae364aee32dc9317e82,3.6973214285714286,22,False
f9e0d9fd1e0afb9b08919b32b3f68cea,2.771205357142857,28,False
3352e95a2ec0ee9a293cc870cd32a00e,4.50436507936508,35,False
3bf7bb78d00f8e715c26468723c13059,3.7250744047619047,22,False
cb38c8cbdd1b60a72604d6f5e0c3b02d,2.7416666666666667,22,False
b629338c705c6337b9849eb74996b9e0,4.604166666666666,21,False
7a45173aa29f06e9c826a8a598c87917,3.6937500000000005,22,False
31e4273d0f0868bc93fc4ed15adb8ae8,3.052232142857143,22,False
6926826db224cd670b3f3d016eabd6d2,2.875,24,False
f216d91d20aa7bd83dc9eac709439992,2.852678571428571,25,False
8cf13e88ced413b3744d70209e1251d4,2.705208333333333,20,False
55db4b4893174032bfe0d630639ea9e5,2.548511904761905,23,False
87e3f5906af991b464f40c260d3a3f56,3.4375,19,False
ce0b035182bc42f7444e47d1ea0239ef,3.6934523809523805,25,False
a6723a5d3c748fcc65b8aecfda56ec1d,2.690625,20,False
76b8ea731d293b61c26e00ca8282d502,2.645833333333333,19,False
7a8b09f616dd7b9d7f0916208571cc4d,3.080357142857143,21,False
3ae8aac64c0222dcec94acc25c14807e,2.9166666666666665,7,False
0435f0713156ca8dd306cd761b176f79,3.1130208333333336,22,False
0318fac201f2310da568eb2ead2bc71a,2.60625,16,False
c8e3c516715628595ca0a1d364726aae,2.790029761904762,20,False
5986cbd9b0a5d1fea5c476b1635f66df,3.0194444444444444,28,False
88eda369a889a30474e729c047a28e7b,3.611309523809524,20,False
8d578d8dbc3e181d020ed7122bbc6f2e,2.7075892857142856,23,False
