name,avg,marks,exam
8d578d8dbc3e181d020ed7122bbc6f2e,2.883928571428571,12,False
926c3d3e12e14c881d0cb80ec5ab8d63,4.239583333333334,15,False
4d2e20cca9f15707fa411b93856bc8ff,3.55,6,False
aec1f77e0621a06f8b96d2b22f1f00d9,3.666666666666667,7,False
53cdd22a2b158a9851b85da7bd114775,3.1,7,False
4def02655451351f60c99998c974ec4f,3.65,7,False
846faa2d38ada14ad7667787e200d0b1,3.5625,9,False
60d27711a827e2c1d9d3f23f13fa25e8,2.0,8,False
69d48916ea9f583830ae4b3e4f096758,3.7,6,False
9d1c87ca6269f9f9234d29d805a6e0f4,3.1666666666666665,8,False
55fb2c5f8cb448c7174fbe701e130134,1.8,5,False
650176b444c2d329eb03af43f2d9f97c,3.6346153846153846,17,False
c4d00648e39608c5bf28169d69556124,3.0,8,False
1f0d86aa4e40a136444e0d23428cd93d,3.75,5,False
4318a6adc567e50c4c69c76b982857a3,3.6875,6,False
ab17bb9e7a320eb4e500b1d740838aec,3.7045454545454546,12,False
d51ffc6306c3a6f2e2928a8581a5d8fb,3.4642857142857144,9,False
242bff2a2d673ecf6e728d905611fd2a,1.875,3,False
1adc6949731f8319ee382244c8dde252,2.4166666666666665,6,False
603989f22623258efab8fcaf0fe911f7,1.875,4,False
7c9dd92f5cc2123af5169a3a3b7fbf54,2.25,6,False
09d1997da504906eb1f4b5d6c5e6ac01,3.107142857142857,8,False
39cf1523763e37265f92522e71b77dc4,2.1666666666666665,3,False
24454accebeb0af480f9884d25ceec4c,2.3,5,False
59af183ff5c4344c5bc11e6a614fe60c,3.0,7,False
e2ee19fa4881ea1dcaab0c12fa6d6641,2.125,4,False
2e3cca721b18d07b37cf8167e7a230e8,3.5,9,False
fdbce8e408d8155289164c8ca57bda99,3.392857142857143,9,False
cf03d87626a205024c2984e9602d918f,2.35,10,False
94aeff15005056b2c8888821b771516b,3.65625,10,False
4d2e20cca9f15707fa411b93856bc8ff,3.583333333333333,4,False
aec1f77e0621a06f8b96d2b22f1f00d9,3.5625,5,False
53cdd22a2b158a9851b85da7bd114775,3.4375,5,False
4def02655451351f60c99998c974ec4f,3.75,4,False
846faa2d38ada14ad7667787e200d0b1,2.375,8,False
60d27711a827e2c1d9d3f23f13fa25e8,3.583333333333333,4,False
69d48916ea9f583830ae4b3e4f096758,2.9166666666666665,4,False
9d1c87ca6269f9f9234d29d805a6e0f4,1.875,5,False
55fb2c5f8cb448c7174fbe701e130134,3.15,6,False
650176b444c2d329eb03af43f2d9f97c,3.4166666666666665,10,False
c4d00648e39608c5bf28169d69556124,3.0,2,False
1f0d86aa4e40a136444e0d23428cd93d,2.3,5,False
4318a6adc567e50c4c69c76b982857a3,3.55,7,False
ab17bb9e7a320eb4e500b1d740838aec,3.208333333333333,7,False
d51ffc6306c3a6f2e2928a8581a5d8fb,3.375,8,False
242bff2a2d673ecf6e728d905611fd2a,2.25,4,False
1adc6949731f8319ee382244c8dde252,3.666666666666667,4,False
603989f22623258efab8fcaf0fe911f7,3.166666666666667,5,False
7c9dd92f5cc2123af5169a3a3b7fbf54,3.666666666666667,5,False
